Landmarks,Men mean,Men std,Skewness men,N men,Women mean,Women std,Skewness women,N women
Glabella,6.580280267549919,1.2961650961078772,0.5395336512938853,7,6.103152099645866,0.9183535844741734,0.12613807307440475,7
Nasion,8.392405253210814,1.497608897241904,0.5616977095167168,7,7.245847428517043,1.4710493124063388,0.8056594298537366,7
Orbital Right,6.901389499767972,1.2761476722276148,0.7738667329107317,7,7.540008318225248,2.6366794011182035,0.59410042862697,7
Orbital Left,7.134483732829801,2.2439386344197096,0.7723565286730211,7,7.567692211541407,3.608084369708857,1.5941268581007655,7
Superius Right,7.953392309327234,0.5716538720139077,-0.21352229766384268,7,7.4336275986755584,1.7363103487293232,-0.5818891601453321,7
Superius Left,8.5021803060984,1.0785231744330819,0.2852047429262868,7,7.118311550106525,1.3598596923646595,-0.17444075731984257,7
Zygion Right,8.424537630396353,0.5474976772630322,0.27993541968890956,7,9.451531020997283,2.5021092659251054,1.1050571457440361,7
Zygion Left,9.185640126664486,1.1157307590867958,0.8403284224909694,7,9.089374466588092,3.049032938013551,1.1548623941109935,7
Rhinion,4.350834598549834,0.8252863619740066,-1.3057545197765912,7,4.281851774230859,1.2271307550901294,1.6619583737624513,7
Midphiltrum,16.064160661420065,2.846980700982608,0.026035362029874852,7,15.156479488554114,2.2515796511217387,-0.18711127137709688,7
